run,stream_size,B,step_pct,step_idx,prefix_size,F_t0,N_t
14,50000,10,5,1,2500,2460,2525
14,50000,10,10,2,5000,4864,5263
14,50000,10,15,3,7500,7282,7028
14,50000,10,20,4,10000,9676,9311
14,50000,10,25,5,12500,12094,11233
14,50000,10,30,6,15000,14512,13246
14,50000,10,35,7,17500,16922,15649
14,50000,10,40,8,20000,19309,18190
14,50000,10,45,9,22500,21720,20547
14,50000,10,50,10,25000,24128,23214
14,50000,10,55,11,27500,26528,26350
14,50000,10,60,12,30000,28929,28095
14,50000,10,65,13,32500,31331,30889
14,50000,10,70,14,35000,33722,33374
14,50000,10,75,15,37500,36113,35482
